Query,Type,State,City
"ADMA BioCenters, Bartlett TN",Brand,TN,Bartlett
"Southern Blood Services, Bartlett TN",Brand,TN,Bartlett
"plasma donation center, TX",General,TX,
"CSL Plasma, TX",Brand,TX,
"BioLife Plasma, TX",Brand,TX,
"Grifols Biomat, TX",Brand,TX,
"Octapharma Plasma, TX",Brand,TX,
"KEDPLASMA, TX",Brand,TX,
"Interstate Blood Bank, TX",Brand,TX,
"ImmunoTek Bio Centers, TX",Brand,TX,
"Talecris Plasma Resources, TX",Brand,TX,
"Blood and Plasma Research, TX",Brand,TX,
"B Positive Plasma, TX",Brand,TX,
"Freedom Plasma, TX",Brand,TX,
"GCAM Plasma, TX",Brand,TX,
"ADMA BioCenters, TX",Brand,TX,
"Southern Blood Services, TX",Brand,TX,
"plasma donation center, Houston TX",General,TX,Houston
"CSL Plasma, Houston TX",Brand,TX,Houston
"BioLife Plasma, Houston TX",Brand,TX,Houston
"Grifols Biomat, Houston TX",Brand,TX,Houston
"Octapharma Plasma, Houston TX",Brand,TX,Houston
"KEDPLASMA, Houston TX",Brand,TX,Houston
"Interstate Blood Bank, Houston TX",Brand,TX,Houston
"ImmunoTek Bio Centers, Houston TX",Brand,TX,Houston
"Talecris Plasma Resources, Houston TX",Brand,TX,Houston
"Blood and Plasma Research, Houston TX",Brand,TX,Houston
"B Positive Plasma, Houston TX",Brand,TX,Houston
"Freedom Plasma, Houston TX",Brand,TX,Houston
"GCAM Plasma, Houston TX",Brand,TX,Houston
"ADMA BioCenters, Houston TX",Brand,TX,Houston
"Southern Blood Services, Houston TX",Brand,TX,Houston
"plasma donation center, San Antonio TX",General,TX,San Antonio
"CSL Plasma, San Antonio TX",Brand,TX,San Antonio
"BioLife Plasma, San Antonio TX",Brand,TX,San Antonio
"Grifols Biomat, San Antonio TX",Brand,TX,San Antonio
"Octapharma Plasma, San Antonio TX",Brand,TX,San Antonio
"KEDPLASMA, San Antonio TX",Brand,TX,San Antonio
"Interstate Blood Bank, San Antonio TX",Brand,TX,San Antonio
"ImmunoTek Bio Centers, San Antonio TX",Brand,TX,San Antonio
"Talecris Plasma Resources, San Antonio TX",Brand,TX,San Antonio
"Blood and Plasma Research, San Antonio TX",Brand,TX,San Antonio
"B Positive Plasma, San Antonio TX",Brand,TX,San Antonio
"Freedom Plasma, San Antonio TX",Brand,TX,San Antonio
"GCAM Plasma, San Antonio TX",Brand,TX,San Antonio
"ADMA BioCenters, San Antonio TX",Brand,TX,San Antonio
"Southern Blood Services, San Antonio TX",Brand,TX,San Antonio
"plasma donation center, Dallas TX",General,TX,Dallas
"CSL Plasma, Dallas TX",Brand,TX,Dallas
"BioLife Plasma, Dallas TX",Brand,TX,Dallas
"Grifols Biomat, Dallas TX",Brand,TX,Dallas
"Octapharma Plasma, Dallas TX",Brand,TX,Dallas
"KEDPLASMA, Dallas TX",Brand,TX,Dallas
"Interstate Blood Bank, Dallas TX",Brand,TX,Dallas
"ImmunoTek Bio Centers, Dallas TX",Brand,TX,Dallas
"Talecris Plasma Resources, Dallas TX",Brand,TX,Dallas
"Blood and Plasma Research, Dallas TX",Brand,TX,Dallas
"B Positive Plasma, Dallas TX",Brand,TX,Dallas
"Freedom Plasma, Dallas TX",Brand,TX,Dallas
"GCAM Plasma, Dallas TX",Brand,TX,Dallas
"ADMA BioCenters, Dallas TX",Brand,TX,Dallas
"Southern Blood Services, Dallas TX",Brand,TX,Dallas
"plasma donation center, Austin TX",General,TX,Austin
"CSL Plasma, Austin TX",Brand,TX,Austin
"BioLife Plasma, Austin TX",Brand,TX,Austin
"Grifols Biomat, Austin TX",Brand,TX,Austin
"Octapharma Plasma, Austin TX",Brand,TX,Austin
"KEDPLASMA, Austin TX",Brand,TX,Austin
"Interstate Blood Bank, Austin TX",Brand,TX,Austin
"ImmunoTek Bio Centers, Austin TX",Brand,TX,Austin
"Talecris Plasma Resources, Austin TX",Brand,TX,Austin
"Blood and Plasma Research, Austin TX",Brand,TX,Austin
"B Positive Plasma, Austin TX",Brand,TX,Austin
"Freedom Plasma, Austin TX",Brand,TX,Austin
"GCAM Plasma, Austin TX",Brand,TX,Austin
"ADMA BioCenters, Austin TX",Brand,TX,Austin
"Southern Blood Services, Austin TX",Brand,TX,Austin
"plasma donation center, Fort Worth TX",General,TX,Fort Worth
"CSL Plasma, Fort Worth TX",Brand,TX,Fort Worth
"BioLife Plasma, Fort Worth TX",Brand,TX,Fort Worth
"Grifols Biomat, Fort Worth TX",Brand,TX,Fort Worth
"Octapharma Plasma, Fort Worth TX",Brand,TX,Fort Worth
"KEDPLASMA, Fort Worth TX",Brand,TX,Fort Worth
"Interstate Blood Bank, Fort Worth TX",Brand,TX,Fort Worth
"ImmunoTek Bio Centers, Fort Worth TX",Brand,TX,Fort Worth
"Talecris Plasma Resources, Fort Worth TX",Brand,TX,Fort Worth
"Blood and Plasma Research, Fort Worth TX",Brand,TX,Fort Worth
"B Positive Plasma, Fort Worth TX",Brand,TX,Fort Worth
"Freedom Plasma, Fort Worth TX",Brand,TX,Fort Worth
"GCAM Plasma, Fort Worth TX",Brand,TX,Fort Worth
"ADMA BioCenters, Fort Worth TX",Brand,TX,Fort Worth
"Southern Blood Services, Fort Worth TX",Brand,TX,Fort Worth
"plasma donation center, El Paso TX",General,TX,El Paso
"CSL Plasma, El Paso TX",Brand,TX,El Paso
"BioLife Plasma, El Paso TX",Brand,TX,El Paso
"Grifols Biomat, El Paso TX",Brand,TX,El Paso
"Octapharma Plasma, El Paso TX",Brand,TX,El Paso
"KEDPLASMA, El Paso TX",Brand,TX,El Paso
"Interstate Blood Bank, El Paso TX",Brand,TX,El Paso
"ImmunoTek Bio Centers, El Paso TX",Brand,TX,El Paso
"Talecris Plasma Resources, El Paso TX",Brand,TX,El Paso
"Blood and Plasma Research, El Paso TX",Brand,TX,El Paso
"B Positive Plasma, El Paso TX",Brand,TX,El Paso
"Freedom Plasma, El Paso TX",Brand,TX,El Paso
"GCAM Plasma, El Paso TX",Brand,TX,El Paso
"ADMA BioCenters, El Paso TX",Brand,TX,El Paso
"Southern Blood Services, El Paso TX",Brand,TX,El Paso
"plasma donation center, Arlington TX",General,TX,Arlington
"CSL Plasma, Arlington TX",Brand,TX,Arlington
"BioLife Plasma, Arlington TX",Brand,TX,Arlington
"Grifols Biomat, Arlington TX",Brand,TX,Arlington
"Octapharma Plasma, Arlington TX",Brand,TX,Arlington
"KEDPLASMA, Arlington TX",Brand,TX,Arlington
"Interstate Blood Bank, Arlington TX",Brand,TX,Arlington
"ImmunoTek Bio Centers, Arlington TX",Brand,TX,Arlington
"Talecris Plasma Resources, Arlington TX",Brand,TX,Arlington
"Blood and Plasma Research, Arlington TX",Brand,TX,Arlington
"B Positive Plasma, Arlington TX",Brand,TX,Arlington
"Freedom Plasma, Arlington TX",Brand,TX,Arlington
"GCAM Plasma, Arlington TX",Brand,TX,Arlington
"ADMA BioCenters, Arlington TX",Brand,TX,Arlington
"Southern Blood Services, Arlington TX",Brand,TX,Arlington
"plasma donation center, Corpus Christi TX",General,TX,Corpus Christi
"CSL Plasma, Corpus Christi TX",Brand,TX,Corpus Christi
"BioLife Plasma, Corpus Christi TX",Brand,TX,Corpus Christi
"Grifols Biomat, Corpus Christi TX",Brand,TX,Corpus Christi
"Octapharma Plasma, Corpus Christi TX",Brand,TX,Corpus Christi
"KEDPLASMA, Corpus Christi TX",Brand,TX,Corpus Christi
"Interstate Blood Bank, Corpus Christi TX",Brand,TX,Corpus Christi
"ImmunoTek Bio Centers, Corpus Christi TX",Brand,TX,Corpus Christi
"Talecris Plasma Resources, Corpus Christi TX",Brand,TX,Corpus Christi
"Blood and Plasma Research, Corpus Christi TX",Brand,TX,Corpus Christi
"B Positive Plasma, Corpus Christi TX",Brand,TX,Corpus Christi
"Freedom Plasma, Corpus Christi TX",Brand,TX,Corpus Christi
"GCAM Plasma, Corpus Christi TX",Brand,TX,Corpus Christi
"ADMA BioCenters, Corpus Christi TX",Brand,TX,Corpus Christi
"Southern Blood Services, Corpus Christi TX",Brand,TX,Corpus Christi
"plasma donation center, Plano TX",General,TX,Plano
"CSL Plasma, Plano TX",Brand,TX,Plano
"BioLife Plasma, Plano TX",Brand,TX,Plano
"Grifols Biomat, Plano TX",Brand,TX,Plano
"Octapharma Plasma, Plano TX",Brand,TX,Plano
"KEDPLASMA, Plano TX",Brand,TX,Plano
"Interstate Blood Bank, Plano TX",Brand,TX,Plano
"ImmunoTek Bio Centers, Plano TX",Brand,TX,Plano
"Talecris Plasma Resources, Plano TX",Brand,TX,Plano
"Blood and Plasma Research, Plano TX",Brand,TX,Plano
"B Positive Plasma, Plano TX",Brand,TX,Plano
"Freedom Plasma, Plano TX",Brand,TX,Plano
"GCAM Plasma, Plano TX",Brand,TX,Plano
"ADMA BioCenters, Plano TX",Brand,TX,Plano
"Southern Blood Services, Plano TX",Brand,TX,Plano
"plasma donation center, Lubbock TX",General,TX,Lubbock
"CSL Plasma, Lubbock TX",Brand,TX,Lubbock
"BioLife Plasma, Lubbock TX",Brand,TX,Lubbock
"Grifols Biomat, Lubbock TX",Brand,TX,Lubbock
"Octapharma Plasma, Lubbock TX",Brand,TX,Lubbock
"KEDPLASMA, Lubbock TX",Brand,TX,Lubbock
"Interstate Blood Bank, Lubbock TX",Brand,TX,Lubbock
"ImmunoTek Bio Centers, Lubbock TX",Brand,TX,Lubbock
"Talecris Plasma Resources, Lubbock TX",Brand,TX,Lubbock
"Blood and Plasma Research, Lubbock TX",Brand,TX,Lubbock
"B Positive Plasma, Lubbock TX",Brand,TX,Lubbock
"Freedom Plasma, Lubbock TX",Brand,TX,Lubbock
"GCAM Plasma, Lubbock TX",Brand,TX,Lubbock
"ADMA BioCenters, Lubbock TX",Brand,TX,Lubbock
"Southern Blood Services, Lubbock TX",Brand,TX,Lubbock
"plasma donation center, UT",General,UT,
"CSL Plasma, UT",Brand,UT,
"BioLife Plasma, UT",Brand,UT,
"Grifols Biomat, UT",Brand,UT,
"Octapharma Plasma, UT",Brand,UT,
"KEDPLASMA, UT",Brand,UT,
"Interstate Blood Bank, UT",Brand,UT,
"ImmunoTek Bio Centers, UT",Brand,UT,
"Talecris Plasma Resources, UT",Brand,UT,
"Blood and Plasma Research, UT",Brand,UT,
"B Positive Plasma, UT",Brand,UT,
"Freedom Plasma, UT",Brand,UT,
"GCAM Plasma, UT",Brand,UT,
"ADMA BioCenters, UT",Brand,UT,
"Southern Blood Services, UT",Brand,UT,
"plasma donation center, Salt Lake City UT",General,UT,Salt Lake City
"CSL Plasma, Salt Lake City UT",Brand,UT,Salt Lake City
"BioLife Plasma, Salt Lake City UT",Brand,UT,Salt Lake City
"Grifols Biomat, Salt Lake City UT",Brand,UT,Salt Lake City
"Octapharma Plasma, Salt Lake City UT",Brand,UT,Salt Lake City
"KEDPLASMA, Salt Lake City UT",Brand,UT,Salt Lake City
"Interstate Blood Bank, Salt Lake City UT",Brand,UT,Salt Lake City
"ImmunoTek Bio Centers, Salt Lake City UT",Brand,UT,Salt Lake City
"Talecris Plasma Resources, Salt Lake City UT",Brand,UT,Salt Lake City
"Blood and Plasma Research, Salt Lake City UT",Brand,UT,Salt Lake City
"B Positive Plasma, Salt Lake City UT",Brand,UT,Salt Lake City
"Freedom Plasma, Salt Lake City UT",Brand,UT,Salt Lake City
"GCAM Plasma, Salt Lake City UT",Brand,UT,Salt Lake City
"ADMA BioCenters, Salt Lake City UT",Brand,UT,Salt Lake City
"Southern Blood Services, Salt Lake City UT",Brand,UT,Salt Lake City
"plasma donation center, West Valley City UT",General,UT,West Valley City
"CSL Plasma, West Valley City UT",Brand,UT,West Valley City
"BioLife Plasma, West Valley City UT",Brand,UT,West Valley City
"Grifols Biomat, West Valley City UT",Brand,UT,West Valley City
"Octapharma Plasma, West Valley City UT",Brand,UT,West Valley City
"KEDPLASMA, West Valley City UT",Brand,UT,West Valley City
"Interstate Blood Bank, West Valley City UT",Brand,UT,West Valley City
"ImmunoTek Bio Centers, West Valley City UT",Brand,UT,West Valley City
"Talecris Plasma Resources, West Valley City UT",Brand,UT,West Valley City
"Blood and Plasma Research, West Valley City UT",Brand,UT,West Valley City
"B Positive Plasma, West Valley City UT",Brand,UT,West Valley City
"Freedom Plasma, West Valley City UT",Brand,UT,West Valley City
"GCAM Plasma, West Valley City UT",Brand,UT,West Valley City
"ADMA BioCenters, West Valley City UT",Brand,UT,West Valley City
"Southern Blood Services, West Valley City UT",Brand,UT,West Valley City
"plasma donation center, Provo UT",General,UT,Provo
"CSL Plasma, Provo UT",Brand,UT,Provo
"BioLife Plasma, Provo UT",Brand,UT,Provo
"Grifols Biomat, Provo UT",Brand,UT,Provo
"Octapharma Plasma, Provo UT",Brand,UT,Provo
"KEDPLASMA, Provo UT",Brand,UT,Provo
"Interstate Blood Bank, Provo UT",Brand,UT,Provo
"ImmunoTek Bio Centers, Provo UT",Brand,UT,Provo
"Talecris Plasma Resources, Provo UT",Brand,UT,Provo
"Blood and Plasma Research, Provo UT",Brand,UT,Provo
"B Positive Plasma, Provo UT",Brand,UT,Provo
"Freedom Plasma, Provo UT",Brand,UT,Provo
"GCAM Plasma, Provo UT",Brand,UT,Provo
"ADMA BioCenters, Provo UT",Brand,UT,Provo
"Southern Blood Services, Provo UT",Brand,UT,Provo
"plasma donation center, West Jordan UT",General,UT,West Jordan
"CSL Plasma, West Jordan UT",Brand,UT,West Jordan
"BioLife Plasma, West Jordan UT",Brand,UT,West Jordan
"Grifols Biomat, West Jordan UT",Brand,UT,West Jordan
"Octapharma Plasma, West Jordan UT",Brand,UT,West Jordan
"KEDPLASMA, West Jordan UT",Brand,UT,West Jordan
"Interstate Blood Bank, West Jordan UT",Brand,UT,West Jordan
"ImmunoTek Bio Centers, West Jordan UT",Brand,UT,West Jordan
"Talecris Plasma Resources, West Jordan UT",Brand,UT,West Jordan
"Blood and Plasma Research, West Jordan UT",Brand,UT,West Jordan
"B Positive Plasma, West Jordan UT",Brand,UT,West Jordan
"Freedom Plasma, West Jordan UT",Brand,UT,West Jordan
"GCAM Plasma, West Jordan UT",Brand,UT,West Jordan
"ADMA BioCenters, West Jordan UT",Brand,UT,West Jordan
"Southern Blood Services, West Jordan UT",Brand,UT,West Jordan
"plasma donation center, Orem UT",General,UT,Orem
"CSL Plasma, Orem UT",Brand,UT,Orem
"BioLife Plasma, Orem UT",Brand,UT,Orem
"Grifols Biomat, Orem UT",Brand,UT,Orem
"Octapharma Plasma, Orem UT",Brand,UT,Orem
"KEDPLASMA, Orem UT",Brand,UT,Orem
"Interstate Blood Bank, Orem UT",Brand,UT,Orem
"ImmunoTek Bio Centers, Orem UT",Brand,UT,Orem
"Talecris Plasma Resources, Orem UT",Brand,UT,Orem
"Blood and Plasma Research, Orem UT",Brand,UT,Orem
"B Positive Plasma, Orem UT",Brand,UT,Orem
"Freedom Plasma, Orem UT",Brand,UT,Orem
"GCAM Plasma, Orem UT",Brand,UT,Orem
"ADMA BioCenters, Orem UT",Brand,UT,Orem
"Southern Blood Services, Orem UT",Brand,UT,Orem
"plasma donation center, Sandy UT",General,UT,Sandy
"CSL Plasma, Sandy UT",Brand,UT,Sandy
"BioLife Plasma, Sandy UT",Brand,UT,Sandy
"Grifols Biomat, Sandy UT",Brand,UT,Sandy
"Octapharma Plasma, Sandy UT",Brand,UT,Sandy
"KEDPLASMA, Sandy UT",Brand,UT,Sandy
"Interstate Blood Bank, Sandy UT",Brand,UT,Sandy
"ImmunoTek Bio Centers, Sandy UT",Brand,UT,Sandy
"Talecris Plasma Resources, Sandy UT",Brand,UT,Sandy
"Blood and Plasma Research, Sandy UT",Brand,UT,Sandy
"B Positive Plasma, Sandy UT",Brand,UT,Sandy
"Freedom Plasma, Sandy UT",Brand,UT,Sandy
"GCAM Plasma, Sandy UT",Brand,UT,Sandy
"ADMA BioCenters, Sandy UT",Brand,UT,Sandy
"Southern Blood Services, Sandy UT",Brand,UT,Sandy
"plasma donation center, Ogden UT",General,UT,Ogden
"CSL Plasma, Ogden UT",Brand,UT,Ogden
"BioLife Plasma, Ogden UT",Brand,UT,Ogden
"Grifols Biomat, Ogden UT",Brand,UT,Ogden
"Octapharma Plasma, Ogden UT",Brand,UT,Ogden
"KEDPLASMA, Ogden UT",Brand,UT,Ogden
"Interstate Blood Bank, Ogden UT",Brand,UT,Ogden
"ImmunoTek Bio Centers, Ogden UT",Brand,UT,Ogden
"Talecris Plasma Resources, Ogden UT",Brand,UT,Ogden
"Blood and Plasma Research, Ogden UT",Brand,UT,Ogden
"B Positive Plasma, Ogden UT",Brand,UT,Ogden
"Freedom Plasma, Ogden UT",Brand,UT,Ogden
"GCAM Plasma, Ogden UT",Brand,UT,Ogden
"ADMA BioCenters, Ogden UT",Brand,UT,Ogden
"Southern Blood Services, Ogden UT",Brand,UT,Ogden
"plasma donation center, St. George UT",General,UT,St. George
"CSL Plasma, St. George UT",Brand,UT,St. George
"BioLife Plasma, St. George UT",Brand,UT,St. George
"Grifols Biomat, St. George UT",Brand,UT,St. George
"Octapharma Plasma, St. George UT",Brand,UT,St. George
"KEDPLASMA, St. George UT",Brand,UT,St. George
"Interstate Blood Bank, St. George UT",Brand,UT,St. George
"ImmunoTek Bio Centers, St. George UT",Brand,UT,St. George
"Talecris Plasma Resources, St. George UT",Brand,UT,St. George
"Blood and Plasma Research, St. George UT",Brand,UT,St. George
"B Positive Plasma, St. George UT",Brand,UT,St. George
"Freedom Plasma, St. George UT",Brand,UT,St. George
"GCAM Plasma, St. George UT",Brand,UT,St. George
"ADMA BioCenters, St. George UT",Brand,UT,St. George
"Southern Blood Services, St. George UT",Brand,UT,St. George
"plasma donation center, Layton UT",General,UT,Layton
"CSL Plasma, Layton UT",Brand,UT,Layton
"BioLife Plasma, Layton UT",Brand,UT,Layton
"Grifols Biomat, Layton UT",Brand,UT,Layton
"Octapharma Plasma, Layton UT",Brand,UT,Layton
"KEDPLASMA, Layton UT",Brand,UT,Layton
"Interstate Blood Bank, Layton UT",Brand,UT,Layton
"ImmunoTek Bio Centers, Layton UT",Brand,UT,Layton
"Talecris Plasma Resources, Layton UT",Brand,UT,Layton
"Blood and Plasma Research, Layton UT",Brand,UT,Layton
"B Positive Plasma, Layton UT",Brand,UT,Layton
"Freedom Plasma, Layton UT",Brand,UT,Layton
"GCAM Plasma, Layton UT",Brand,UT,Layton
"ADMA BioCenters, Layton UT",Brand,UT,Layton
"Southern Blood Services, Layton UT",Brand,UT,Layton
"plasma donation center, Taylorsville UT",General,UT,Taylorsville
"CSL Plasma, Taylorsville UT",Brand,UT,Taylorsville
"BioLife Plasma, Taylorsville UT",Brand,UT,Taylorsville
"Grifols Biomat, Taylorsville UT",Brand,UT,Taylorsville
"Octapharma Plasma, Taylorsville UT",Brand,UT,Taylorsville
"KEDPLASMA, Taylorsville UT",Brand,UT,Taylorsville
"Interstate Blood Bank, Taylorsville UT",Brand,UT,Taylorsville
"ImmunoTek Bio Centers, Taylorsville UT",Brand,UT,Taylorsville
"Talecris Plasma Resources, Taylorsville UT",Brand,UT,Taylorsville
"Blood and Plasma Research, Taylorsville UT",Brand,UT,Taylorsville
"B Positive Plasma, Taylorsville UT",Brand,UT,Taylorsville
"Freedom Plasma, Taylorsville UT",Brand,UT,Taylorsville
"GCAM Plasma, Taylorsville UT",Brand,UT,Taylorsville
"ADMA BioCenters, Taylorsville UT",Brand,UT,Taylorsville
"Southern Blood Services, Taylorsville UT",Brand,UT,Taylorsville
"plasma donation center, VT",General,VT,
"CSL Plasma, VT",Brand,VT,
"BioLife Plasma, VT",Brand,VT,
"Grifols Biomat, VT",Brand,VT,
"Octapharma Plasma, VT",Brand,VT,
"KEDPLASMA, VT",Brand,VT,
"Interstate Blood Bank, VT",Brand,VT,
"ImmunoTek Bio Centers, VT",Brand,VT,
"Talecris Plasma Resources, VT",Brand,VT,
"Blood and Plasma Research, VT",Brand,VT,
"B Positive Plasma, VT",Brand,VT,
"Freedom Plasma, VT",Brand,VT,
"GCAM Plasma, VT",Brand,VT,
"ADMA BioCenters, VT",Brand,VT,
"Southern Blood Services, VT",Brand,VT,
"plasma donation center, Burlington VT",General,VT,Burlington
"CSL Plasma, Burlington VT",Brand,VT,Burlington
"BioLife Plasma, Burlington VT",Brand,VT,Burlington
"Grifols Biomat, Burlington VT",Brand,VT,Burlington
"Octapharma Plasma, Burlington VT",Brand,VT,Burlington
"KEDPLASMA, Burlington VT",Brand,VT,Burlington
"Interstate Blood Bank, Burlington VT",Brand,VT,Burlington
"ImmunoTek Bio Centers, Burlington VT",Brand,VT,Burlington
"Talecris Plasma Resources, Burlington VT",Brand,VT,Burlington
"Blood and Plasma Research, Burlington VT",Brand,VT,Burlington
"B Positive Plasma, Burlington VT",Brand,VT,Burlington
"Freedom Plasma, Burlington VT",Brand,VT,Burlington
"GCAM Plasma, Burlington VT",Brand,VT,Burlington
"ADMA BioCenters, Burlington VT",Brand,VT,Burlington
"Southern Blood Services, Burlington VT",Brand,VT,Burlington
"plasma donation center, South Burlington VT",General,VT,South Burlington
"CSL Plasma, South Burlington VT",Brand,VT,South Burlington
"BioLife Plasma, South Burlington VT",Brand,VT,South Burlington
"Grifols Biomat, South Burlington VT",Brand,VT,South Burlington
"Octapharma Plasma, South Burlington VT",Brand,VT,South Burlington
"KEDPLASMA, South Burlington VT",Brand,VT,South Burlington
"Interstate Blood Bank, South Burlington VT",Brand,VT,South Burlington
"ImmunoTek Bio Centers, South Burlington VT",Brand,VT,South Burlington
"Talecris Plasma Resources, South Burlington VT",Brand,VT,South Burlington
"Blood and Plasma Research, South Burlington VT",Brand,VT,South Burlington
"B Positive Plasma, South Burlington VT",Brand,VT,South Burlington
"Freedom Plasma, South Burlington VT",Brand,VT,South Burlington
"GCAM Plasma, South Burlington VT",Brand,VT,South Burlington
"ADMA BioCenters, South Burlington VT",Brand,VT,South Burlington
"Southern Blood Services, South Burlington VT",Brand,VT,South Burlington
"plasma donation center, Rutland VT",General,VT,Rutland
"CSL Plasma, Rutland VT",Brand,VT,Rutland
"BioLife Plasma, Rutland VT",Brand,VT,Rutland
"Grifols Biomat, Rutland VT",Brand,VT,Rutland
"Octapharma Plasma, Rutland VT",Brand,VT,Rutland
"KEDPLASMA, Rutland VT",Brand,VT,Rutland
"Interstate Blood Bank, Rutland VT",Brand,VT,Rutland
"ImmunoTek Bio Centers, Rutland VT",Brand,VT,Rutland
"Talecris Plasma Resources, Rutland VT",Brand,VT,Rutland
"Blood and Plasma Research, Rutland VT",Brand,VT,Rutland
"B Positive Plasma, Rutland VT",Brand,VT,Rutland
"Freedom Plasma, Rutland VT",Brand,VT,Rutland
"GCAM Plasma, Rutland VT",Brand,VT,Rutland
"ADMA BioCenters, Rutland VT",Brand,VT,Rutland
"Southern Blood Services, Rutland VT",Brand,VT,Rutland
"plasma donation center, Barre VT",General,VT,Barre
"CSL Plasma, Barre VT",Brand,VT,Barre
"BioLife Plasma, Barre VT",Brand,VT,Barre
"Grifols Biomat, Barre VT",Brand,VT,Barre
"Octapharma Plasma, Barre VT",Brand,VT,Barre
"KEDPLASMA, Barre VT",Brand,VT,Barre
"Interstate Blood Bank, Barre VT",Brand,VT,Barre
"ImmunoTek Bio Centers, Barre VT",Brand,VT,Barre
"Talecris Plasma Resources, Barre VT",Brand,VT,Barre
"Blood and Plasma Research, Barre VT",Brand,VT,Barre
"B Positive Plasma, Barre VT",Brand,VT,Barre
"Freedom Plasma, Barre VT",Brand,VT,Barre
"GCAM Plasma, Barre VT",Brand,VT,Barre
"ADMA BioCenters, Barre VT",Brand,VT,Barre
"Southern Blood Services, Barre VT",Brand,VT,Barre
"plasma donation center, Montpelier VT",General,VT,Montpelier
"CSL Plasma, Montpelier VT",Brand,VT,Montpelier
"BioLife Plasma, Montpelier VT",Brand,VT,Montpelier
"Grifols Biomat, Montpelier VT",Brand,VT,Montpelier
"Octapharma Plasma, Montpelier VT",Brand,VT,Montpelier
"KEDPLASMA, Montpelier VT",Brand,VT,Montpelier
"Interstate Blood Bank, Montpelier VT",Brand,VT,Montpelier
"ImmunoTek Bio Centers, Montpelier VT",Brand,VT,Montpelier
"Talecris Plasma Resources, Montpelier VT",Brand,VT,Montpelier
"Blood and Plasma Research, Montpelier VT",Brand,VT,Montpelier
"B Positive Plasma, Montpelier VT",Brand,VT,Montpelier
"Freedom Plasma, Montpelier VT",Brand,VT,Montpelier
"GCAM Plasma, Montpelier VT",Brand,VT,Montpelier
"ADMA BioCenters, Montpelier VT",Brand,VT,Montpelier
"Southern Blood Services, Montpelier VT",Brand,VT,Montpelier
"plasma donation center, Winooski VT",General,VT,Winooski
"CSL Plasma, Winooski VT",Brand,VT,Winooski
"BioLife Plasma, Winooski VT",Brand,VT,Winooski
"Grifols Biomat, Winooski VT",Brand,VT,Winooski
"Octapharma Plasma, Winooski VT",Brand,VT,Winooski
"KEDPLASMA, Winooski VT",Brand,VT,Winooski
"Interstate Blood Bank, Winooski VT",Brand,VT,Winooski
"ImmunoTek Bio Centers, Winooski VT",Brand,VT,Winooski
"Talecris Plasma Resources, Winooski VT",Brand,VT,Winooski
"Blood and Plasma Research, Winooski VT",Brand,VT,Winooski
"B Positive Plasma, Winooski VT",Brand,VT,Winooski
"Freedom Plasma, Winooski VT",Brand,VT,Winooski
"GCAM Plasma, Winooski VT",Brand,VT,Winooski
"ADMA BioCenters, Winooski VT",Brand,VT,Winooski
"Southern Blood Services, Winooski VT",Brand,VT,Winooski
"plasma donation center, St. Albans VT",General,VT,St. Albans
"CSL Plasma, St. Albans VT",Brand,VT,St. Albans
"BioLife Plasma, St. Albans VT",Brand,VT,St. Albans
"Grifols Biomat, St. Albans VT",Brand,VT,St. Albans
"Octapharma Plasma, St. Albans VT",Brand,VT,St. Albans
"KEDPLASMA, St. Albans VT",Brand,VT,St. Albans
"Interstate Blood Bank, St. Albans VT",Brand,VT,St. Albans
"ImmunoTek Bio Centers, St. Albans VT",Brand,VT,St. Albans
"Talecris Plasma Resources, St. Albans VT",Brand,VT,St. Albans
"Blood and Plasma Research, St. Albans VT",Brand,VT,St. Albans
"B Positive Plasma, St. Albans VT",Brand,VT,St. Albans
"Freedom Plasma, St. Albans VT",Brand,VT,St. Albans
"GCAM Plasma, St. Albans VT",Brand,VT,St. Albans
"ADMA BioCenters, St. Albans VT",Brand,VT,St. Albans
"Southern Blood Services, St. Albans VT",Brand,VT,St. Albans
"plasma donation center, Newport VT",General,VT,Newport
"CSL Plasma, Newport VT",Brand,VT,Newport
"BioLife Plasma, Newport VT",Brand,VT,Newport
"Grifols Biomat, Newport VT",Brand,VT,Newport
"Octapharma Plasma, Newport VT",Brand,VT,Newport
"KEDPLASMA, Newport VT",Brand,VT,Newport
"Interstate Blood Bank, Newport VT",Brand,VT,Newport
"ImmunoTek Bio Centers, Newport VT",Brand,VT,Newport
"Talecris Plasma Resources, Newport VT",Brand,VT,Newport
"Blood and Plasma Research, Newport VT",Brand,VT,Newport
"B Positive Plasma, Newport VT",Brand,VT,Newport
"Freedom Plasma, Newport VT",Brand,VT,Newport
"GCAM Plasma, Newport VT",Brand,VT,Newport
"ADMA BioCenters, Newport VT",Brand,VT,Newport
"Southern Blood Services, Newport VT",Brand,VT,Newport
"plasma donation center, Vergennes VT",General,VT,Vergennes
"CSL Plasma, Vergennes VT",Brand,VT,Vergennes
"BioLife Plasma, Vergennes VT",Brand,VT,Vergennes
"Grifols Biomat, Vergennes VT",Brand,VT,Vergennes
"Octapharma Plasma, Vergennes VT",Brand,VT,Vergennes
"KEDPLASMA, Vergennes VT",Brand,VT,Vergennes
"Interstate Blood Bank, Vergennes VT",Brand,VT,Vergennes
"ImmunoTek Bio Centers, Vergennes VT",Brand,VT,Vergennes
